Individual,Institution_Code,Region,Sex,Ancestry,Sub,Tribe_Clean,Lang_Class,Age,Age_Clean_yr,Age_Group,Completion_%,LUI1MD_mm,LUI1BL_mm,RUI1MD_mm,RUI1BL_mm,LUI2MD_mm,LUI2BL_mm,RUI2MD_mm,RUI2BL_mm,LUCMD_mm,LUCBL_mm,RUCMD_mm,RUCBL_mm,LUP3MD_mm,LUP3BL_mm,RUP3MD_mm,RUP3BL_mm,LUP4MD_mm,LUP4BL_mm,RUP4MD_mm,RUP4BL_mm,LUM1MD_mm,LUM1BL_mm,LUM1MBDL_mm,LUM1MLDB_mm,RUM1MD_mm,RUM1BL_mm,RUM1MBDL_mm,RUM1MLDB_mm,LUM2MD_mm,LUM2BL_mm,LUM2MBDL_mm,LUM2MLDB_mm,RUM2MD_mm,RUM2BL_mm,RUM2MBDL_mm,RUM2MLDB_mm,LLI1MD_mm,LLI1BL_mm,RLI1MD_mm,RLI1BL_mm,LLI2MD_mm,LLI2BL_mm,RLI2MD_mm,RLI2BL_mm,LLCMD_mm,LLCBL_mm,RLCMD_mm,RLCBL_mm,LLP3MD_mm,LLP3BL_mm,RLP3MD_mm,RLP3BL_mm,LLP4MD_mm,LLP4BL_mm,RLP4MD_mm,RLP4BL_mm,LLM1MD_mm,LLM1BL_mm,LLM1MBDL_mm,LLM1MLDB_mm,RLM1MD_mm,RLM1BL_mm,RLM1MBDL_mm,RLM1MLDB_mm,LLM2MD_mm,LLM2BL_mm,LLM2MBDL_mm,LLM2MLDB_mm,RLM2MD_mm,RLM2BL_mm,RLM2MBDL_mm,RLM2MLDB_mm,Bi_LCBL_mm,Bi_LCMD_mm,Bi_LI1BL_mm,Bi_LI1MD_mm,Bi_LI2BL_mm,Bi_LI2MD_mm,Bi_LM1BL_mm,Bi_LM1MBDL_mm,Bi_LM1MD_mm,Bi_LM1MLDB_mm,Bi_LM2BL_mm,Bi_LM2MBDL_mm,Bi_LM2MD_mm,Bi_LM2MLDB_mm,Bi_LP3BL_mm,Bi_LP3MD_mm,Bi_LP4BL_mm,Bi_LP4MD_mm,Bi_UCBL_mm,Bi_UCMD_mm,Bi_UI1BL_mm,Bi_UI1MD_mm,Bi_UI2BL_mm,Bi_UI2MD_mm,Bi_UM1BL_mm,Bi_UM1MBDL_mm,Bi_UM1MD_mm,Bi_UM1MLDB_mm,Bi_UM2BL_mm,Bi_UM2MBDL_mm,Bi_UM2MD_mm,Bi_UM2MLDB_mm,Bi_UP3BL_mm,Bi_UP3MD_mm,Bi_UP4BL_mm,Bi_UP4MD_mm
W3890,Witz,Transvaal,F,white,white,NA,English_Afrikaans,84,84,Older_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.6,NA,NA,NA,6.37,NA,NA,6.1,7.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.49,6.1,5.6,NA,6.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3866,Witz,Transvaal,F,white,white,NA,English_Afrikaans,86,86,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.18,6.84,NA,NA,6.59,7.34,NA,NA,6.55,7.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.84,6.18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.34,6.59,7.52,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3875,Witz,Transvaal,F,white,white,NA,English_Afrikaans,52,52,Middle_Aged_Adult,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.42,7.7,NA,NA,7.14,7.18,NA,NA,NA,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.7,6.42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.18,7.14,8.39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3845,Witz,Transvaal,F,white,white,NA,English_Afrikaans,57,57,Middle_Aged_Adult,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.46,NA,NA,6.31,5.87,NA,NA,NA,NA,6.57,7.19,NA,NA,NA,NA,7.55,8.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19,6.57,5.46,NA,5.87,6.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.28,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3850,Witz,Transvaal,F,white,white,NA,English_Afrikaans,71,71,Older_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.3,5.68,5.84,6.24,NA,NA,6.43,7.19,NA,NA,6.52,7.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.19,6.43,5.68,5.3,6.24,5.84,NA,NA,NA,NA,NA,NA,NA,NA,7.44,6.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2490,Witz,Transvaal,M,white,white,NA,English_Afrikaans,73,73,Older_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,NA,NA,NA,NA,NA,NA,NA,7.76,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,NA,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2595,Witz,Transvaal,M,white,white,NA,English_Afrikaans,85,85,Older_Adult,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23,NA,NA,NA,NA,6.98,7.48,NA,NA,7.19,8.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.48,6.98,8.06,7.19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2456,Witz,Transvaal,M,white,white,NA,English_Afrikaans,49,49,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.36,5.53,NA,NA,6.09,5.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.53,5.36,5.94,6.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3843,Witz,Transvaal,M,white,white,NA,English_Afrikaans,57,57,Middle_Aged_Adult,36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.26,8.74,NA,NA,NA,NA,NA,NA,10.04,11.41,12.36,11.47,NA,NA,NA,NA,10.2,12.44,12.84,11.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.24,7.88,NA,NA,NA,NA,NA,7.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.88,6.24,7.75,NA,NA,NA,NA,NA,NA,NA,11.41,12.36,10.04,11.47,12.44,12.84,10.2,11.28,NA,NA,8.74,6.26
W2523,Witz,Transvaal,M,white,white,NA,English_Afrikaans,69,69,Older_Adult,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.79,6.13,NA,NA,6.61,6.5,NA,NA,NA,8.03,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.03,NA,6.13,5.79,6.5,6.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3700,Witz,Transvaal,M,white,white,NA,English_Afrikaans,77,77,Older_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.12,NA,NA,6.71,9.17,NA,NA,NA,NA,NA,12.26,12.67,13.34,11.9,NA,13.01,13.96,12.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.03,11.06,11.88,12.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.06,11.88,12.03,12.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.67,13.34,12.26,11.9,13.01,13.96,NA,12.29,NA,7.12,6.71,9.17
W2110,Witz,Transvaal,M,white,white,NA,English_Afrikaans,77,77,Older_Adult,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.38,8.67,NA,NA,NA,NA,NA,NA,NA,NA,10.14,10.68,11.97,10.34,NA,NA,NA,NA,9.57,11.57,11.27,10.58,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.53,6.95,NA,NA,NA,NA,6.9,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.95,6.53,7.7,6.9,NA,NA,NA,NA,NA,NA,10.68,11.97,10.14,10.34,11.57,11.27,9.57,10.58,8.67,6.38,NA,NA
W2449,Witz,Transvaal,M,white,white,NA,English_Afrikaans,51,51,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.2,6.94,NA,NA,5.56,6.54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.94,6.2,6.54,5.56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2007,Witz,Transvaal,M,white,white,NA,English_Afrikaans,75,75,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.93,8.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.17,11.7,12.83,11.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,12.83,12.17,11.44,NA,NA,NA,NA,8.1,6.93,NA,NA
W2050,Witz,Transvaal,M,white,white,NA,English_Afrikaans,67,67,Older_Adult,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.85,9.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.16,8.45,NA,NA,7.25,8.19,NA,NA,7.69,8.89,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.45,7.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.19,7.25,8.89,7.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.75,6.85
W2733,Witz,Transvaal,M,white,white,NA,English_Afrikaans,56,56,Middle_Aged_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.93,6.36,NA,NA,6.33,6.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.36,5.93,6.55,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3655,Witz,Transvaal,M,white,white,NA,English_Afrikaans,72,72,Older_Adult,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.21,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,6.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3539,Witz,Transvaal,F,white,white,NA,English_Afrikaans,76,76,Older_Adult,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.08,7.36,NA,NA,NA,NA,NA,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.36,7.08,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3476,Witz,Transvaal,F,white,white,NA,English_Afrikaans,83,83,Older_Adult,19,NA,NA,NA,NA,6.89,6.27,NA,NA,NA,NA,7.43,8.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.49,12.19,11.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.63,7.43,NA,NA,6.27,6.89,11.49,12.19,NA,11.27,NA,NA,NA,NA,NA,NA,NA,NA
W2925,Witz,Transvaal,M,white,white,NA,English_Afrikaans,68,68,Older_Adult,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.23,7.87,NA,NA,6.47,7.62,NA,NA,7.25,8.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.87,7.23,NA,5.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.62,6.47,8.02,7.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2738,Witz,Transvaal,M,white,white,NA,English_Afrikaans,77,77,Older_Adult,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.68,9.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.77,8.1,NA,NA,7.55,8.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.1,6.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,7.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.63,6.68,NA,NA
W3976,Witz,Transvaal,F,white,white,NA,English_Afrikaans,75,75,Older_Adult,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.76,5.83,NA,NA,NA,NA,NA,NA,NA,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.83,5.76,NA,NA,NA,NA,NA,NA,NA,NA,6.34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3542,Witz,Transvaal,M,white,white,NA,English_Afrikaans,44,44,Middle_Aged_Adult,75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.76,8.45,7.06,9.46,NA,NA,6.86,9.34,NA,NA,10.71,11.44,12.55,11.35,NA,NA,NA,NA,NA,9.93,11.99,12.28,11.07,NA,NA,NA,NA,NA,NA,5.64,NA,NA,5.61,6.17,7.01,7.83,NA,NA,6.79,7.89,NA,NA,NA,NA,7.08,8.04,NA,NA,NA,NA,NA,NA,NA,NA,12.27,10.81,12.5,12.57,NA,NA,NA,NA,7.83,7.01,5.64,NA,6.17,5.61,NA,NA,NA,NA,10.81,12.5,12.27,12.57,7.89,6.79,8.04,7.08,8.45,7.76,NA,NA,NA,NA,11.44,12.55,10.71,11.35,9.93,11.99,11.07,12.28,9.46,7.06,9.34,6.86
W1994,Witz,Transvaal,M,white,white,NA,English_Afrikaans,89,89,Older_Adult,44,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.64,NA,NA,6.36,6.32,NA,NA,7.12,8.31,NA,NA,NA,NA,6.73,7.78,NA,NA,NA,NA,NA,NA,NA,NA,11.1,10.17,11.69,11.09,NA,NA,NA,NA,10.78,10.4,11.4,11.27,8.31,7.12,5.64,NA,6.32,6.36,10.17,11.69,11.1,11.09,10.4,11.4,10.78,11.27,7.78,6.73,NA,NA,NA,NA,7.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2500,Witz,Transvaal,M,white,white,NA,English_Afrikaans,66,66,Older_Adult,25,NA,NA,NA,NA,NA,NA,NA,NA,7.63,6.46,NA,NA,NA,NA,NA,NA,NA,8.1,NA,NA,NA,11.4,13.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.67,5.69,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.98,7.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.69,5.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.43,6.98,NA,NA,6.46,7.63,NA,NA,NA,NA,11.4,13.16,NA,NA,NA,NA,NA,NA,NA,NA,8.1,NA
W3088,Witz,Transvaal,M,white,white,NA,English_Afrikaans,69,69,Older_Adult,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,10.74,11.54,12.12,11.44,NA,NA,10.9,12.46,12.31,10.8,NA,NA,NA,6.02,NA,NA,NA,6.39,NA,NA,7.21,7.37,NA,NA,6.53,7.69,NA,NA,7.53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.95,9.86,11.33,11.21,NA,NA,NA,NA,7.37,7.21,6.02,NA,6.39,NA,NA,NA,NA,NA,9.86,11.33,10.95,11.21,7.69,6.53,NA,7.53,NA,NA,NA,NA,NA,NA,11.54,12.12,10.74,11.44,10.8,10.9,12.31,12.46,NA,NA,9.5,NA
W3515,Witz,Transvaal,F,white,white,NA,English_Afrikaans,66,66,Older_Adult,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.16,5.75,NA,NA,5.91,5.89,NA,NA,6.66,7.6,NA,NA,7.11,7.35,NA,NA,NA,NA,NA,NA,11.01,10.21,11.43,11.33,NA,NA,NA,NA,10.86,10.11,11.22,10.82,NA,NA,NA,NA,7.6,6.66,5.75,5.16,5.89,5.91,10.21,11.43,11.01,11.33,10.11,11.22,10.86,10.82,7.35,7.11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W2665,Witz,Transvaal,M,white,white,NA,English_Afrikaans,60,60,Middle_Aged_Adult,58,NA,NA,NA,NA,NA,NA,NA,NA,8.15,8.15,NA,NA,NA,9.81,NA,NA,NA,NA,NA,NA,11.21,11.76,12.95,11.79,NA,NA,NA,NA,10.91,11.98,11.81,10.81,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.55,7.61,NA,NA,NA,NA,NA,NA,10.81,10.5,12.04,11.12,NA,NA,NA,NA,10.72,10.43,10.7,11.14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.5,12.04,10.81,11.12,10.43,10.7,10.72,11.14,7.61,7.55,NA,NA,8.15,8.15,NA,NA,NA,NA,11.76,12.95,11.21,11.79,11.98,11.81,10.91,10.81,9.81,NA,NA,NA
W2647,Witz,Transvaal,M,white,white,NA,English_Afrikaans,54,54,Middle_Aged_Adult,17,8.49,6.6,NA,NA,NA,NA,NA,NA,NA,NA,8.06,8.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,NA,NA,NA,NA,NA,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.97,NA,6.33,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.97,8.06,6.6,8.49,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
W3981,Witz,Transvaal,M,white,white,NA,English_Afrikaans,77,77,Older_Adult,39,NA,NA,NA,NA,6.45,6.02,NA,NA,7.79,7.69,NA,NA,NA,9.02,NA,NA,NA,9.27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.31,5.98,NA,NA,6.03,6.12,NA,NA,NA,NA,6.59,7.66,7.13,7.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.66,6.59,5.98,5.31,6.12,6.03,NA,NA,NA,NA,NA,NA,NA,NA,7.7,7.13,NA,NA,7.69,7.79,NA,NA,6.02,6.45,NA,NA,NA,NA,NA,NA,NA,NA,9.02,NA,9.27,NA
W4085,Witz,Transvaal,F,white,white,NA,English_Afrikaans,88,88,Older_Adult,28,NA,NA,NA,NA,NA,NA,NA,NA,7.05,8.35,NA,NA,670,8.59,NA,NA,6.35,8.62,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.93,10.14,10.93,10.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14,10.93,10.93,10.79,NA,NA,NA,NA,8.35,7.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.59,670,8.62,6.35
W4104,Witz,Transvaal,M,white,white,NA,English_Afrikaans,65,65,Older_Adult,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.85,NA,7.99,NA,NA,6.7,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.99,NA,NA,NA,5.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
